,0,1,2,3,4
145,18.502535,0.0,13.135633,4.430445,0.0
146,20.267397,0.0,14.224293,5.3108115,0.0
147,20.865602,0.0,15.021561,5.359426,0.0
148,22.748104,0.0,13.3875675,3.4748487,0.0
149,18.707806,0.0,13.127512,4.7499247,0.0
150,20.662203,0.0,14.134798,2.443638,0.0
151,23.371643,0.0,16.040173,5.214028,0.0
152,17.173618,0.0,12.182016,2.118694,0.0
153,23.91816,0.0,16.757633,5.6514125,0.0
154,22.218468,0.0,15.91305,5.9692955,0.0
155,14.660668,0.0,10.446465,4.3399577,0.0
156,16.634806,0.0,11.770678,4.323832,0.0
157,24.304214,0.0,16.849125,5.931157,0.0
158,24.285105,0.0,16.343683,5.185773,0.0
159,20.113062,0.0,14.693062,5.7917113,0.0
160,21.863289,0.0,12.212715,2.6156235,0.0
161,24.156378,0.0,17.229532,6.19796,0.0
162,26.675068,0.0,19.196594,6.5267053,0.0
163,17.821342,0.0,12.783176,4.758311,0.0
164,22.11592,0.0,15.481472,5.653005,0.0
165,24.031654,0.0,17.37348,5.880231,0.0
166,28.647297,0.0,16.829401,3.4703372,0.0
167,21.04024,0.0,15.244619,5.5574775,0.0
168,20.950056,0.0,14.609037,5.425063,0.0
169,25.053417,0.0,17.917454,2.2321558,0.0
170,19.084103,0.0,13.450542,4.9498167,0.0
171,21.474583,0.0,15.576752,5.8274884,0.0
172,19.594143,0.0,14.459438,5.7819285,0.0
173,20.185171,0.0,15.37631,6.14092,0.0
174,16.248592,0.0,11.92761,4.783195,0.0
175,16.964788,0.0,12.306736,2.11957,0.0
176,24.83477,0.0,17.176895,5.93311,0.0
177,18.32046,0.0,13.453081,5.9760284,0.0
178,20.784613,0.0,11.6111355,2.494541,0.0
179,23.430763,0.0,16.32911,3.3533282,0.0
180,21.666368,0.0,15.256006,5.584113,0.0
181,13.130331,0.0,9.821945,0.9421152,0.0
182,22.010473,0.0,15.79908,5.969759,0.0
183,23.01285,0.0,16.700722,2.6770978,0.0
184,17.017288,0.0,12.432877,4.866539,0.0
185,17.753786,0.0,12.863422,2.1808393,0.0
186,19.187384,0.0,13.471642,5.0028696,0.0
187,16.439169,0.0,11.783304,4.3686414,0.0
188,16.999556,0.0,12.58629,5.129873,0.0
189,21.897005,0.0,15.469515,2.249101,0.0
190,16.938732,0.0,12.56897,5.077459,0.0
191,15.832485,0.0,11.5952,4.5924125,0.0
192,14.359524,0.0,10.375252,4.1997385,0.0
193,17.869246,0.0,10.938908,2.5812798,0.0
194,11.612128,0.0,9.038116,4.0833063,0.0
195,13.901525,0.0,7.099232,1.4492502,0.0
196,14.949662,0.0,11.015854,4.69739,0.0
197,16.968311,0.0,12.009943,4.491558,0.0
198,19.707308,0.0,12.307615,3.0656812,0.0
199,21.79829,0.0,15.427353,5.7481003,0.0
200,25.449585,0.0,17.310017,2.5120912,0.0
201,11.304185,0.0,8.401907,3.3315144,0.0
202,12.134484,0.0,8.395311,1.1240602,0.0
203,20.041656,0.0,11.756556,2.9301856,0.0
204,13.648536,0.0,10.153318,4.420054,0.0
205,14.764455,0.0,10.4801235,1.9765999,0.0
206,15.725253,0.0,9.1543045,1.9114565,0.0
207,17.826227,0.0,10.881548,2.5214443,0.0
208,29.17878,0.0,20.225237,7.078994,0.0
209,14.231611,0.0,10.3554,4.2219443,0.0
210,16.65892,0.0,12.386913,5.350322,0.0
211,10.894881,0.0,8.208916,3.596325,0.0
212,21.41205,0.0,15.517443,5.6358566,0.0
213,12.511461,0.0,9.250933,3.8713603,0.0
214,13.262715,0.0,9.620522,1.2323416,0.0
215,19.405079,0.0,13.828823,5.6086125,0.0
